,review,label,clean
44754,"Mantull, pengiriman terbaik sehari nyampe.. pertahankan lazada",Extremely Positive,mantul kirim baik hari sampai tahan lazada
17531,lama banget sampainya...so barang bagus dan aman sampai ke Kalimantan timur,Extremely Positive,banget sampai jadi barang bagus aman kalimantan timur
15469,pengiriman cepat barang oke semoga awet terima kasih yang paling suka dari lajada.,Extremely Positive,kirim cepat barang oke moga awet terima kasih suka lajada
72080,saya kecewa sama.lazada barang pesenan saya sdh 4x sll dikirim.tidak sesuai dengan order atau pesenan saya....kl.memang gak ada atau warna jenisnya gak ada ya kabari dong barang kosong daripada dikirim tapi gak sesuai untuk nembaliinnya juga ribet....butuh waktu....,Extremely Positive,kecewa lazada barang sen sudah kali sl kirim sesuai order sen kalau tidak warna jenis tidak iya kabar barang kosong kirim tidak sesuai nembalinya ribet butuh
23069,"Sesuai deskripsi, berfungsi dengan baik, semoga awet",Extremely Positive,sesuai deskripsi fungsi moga awet
56228,"Barang dah sampe, tpi blum dicoba",Extremely Positive,barang sudah sampai tapi belum coba
6724,pengiriman yang cepat dan tepat waktu,Extremely Positive,kirim cepat
25115,Good product quality & price,Extremely Positive,god produk kualitas harga
19122,"Ga sangka secepat itu pengirimannya , kurir baik ramah pesen minggu siang senen siang pula udh sampe drmh..... mkasiih bgeet buat Lazada Sukses selalu",Extremely Positive,tidak sangka cepat pengirimanya kurir ramah sen minggu siang senin siang sudah sampai di rumah terimakasih banget lazada sukses
51397,Bagus tapi belum di buka,Extremely Positive,bagus buka
10001,"Beli tanggal 4 0ktober 2017 dikirim tanggal 7 oktober 2017 hari sabtu kmaren. Bonusnya juga beneran, ada pouch HDD, ada OTG, ada Flashdisk Transcend 32 gb, + antivirus mcafee 90 hari. Kondisi barang oke semua se Flashdisknya :3  Terima Kasih Blanja Murah n tengkyu buat pengiriman yang cepat lazada :D :D :D Puas sekali~",Extremely Positive,beli tangal ktober kirim tangal oktober sabtu kemarin bonus benaran pouch hd otg flashdisk transcend gb antivirus mcafe kondisi barang oke flashdisknya terima kasih blanja murah dan tengkyu kirim cepat lazada ada ada ada puas
45958,"terima kasih barang sudah mendarat dengan selamat dan dalam kondisi tidsk cacad, terima kaaih kurirnya, terima kasih lazada dan pada saat di coba joooossss manttuuuullll, di tunggu discount selanjutnya",Extremely Positive,terima kasih barang darat selamat kondisi tidsk cacad terima kaih kurir terima kasih lazada saat coba jos mantul tunggu diskon
29432,"Alhamdulillah barang sudah sampai, sesuai deskripsi, packing oke",Extremely Positive,alhamdulillah barang sesuai deskripsi packing oke
40757,"TV Bagus, TV Digitalnya tajam.resolusi 1080p, bagus, di Depok Jawa barat Indonesia ada 16 channel Digital TV yang tertangkap. 25 channel TV Analog. Flashdisk berfungsi baik. lengkap dan bisa dipasang di bracket gantung dengan mudah. Dapat harga 1,699K. Alhamdulillah",Extremely Positive,televisi bagus televisi digital tajam resolusi p bagus depok jawa barat indonesia chanel digital televisi tangkap chanel televisi analog flashdisk fungsi lengkap pasang bracket gantung mudah harga kak alhamdulillah
55952,mantep super cepat langsung sampai pesan hari ini besok sampai.,Extremely Positive,mantap super cepat langsung pesan besok
8090,barangnya bagus dan meyakinkan mudah2an gk ada kerusakan kedepanya....amin...pengirimanya 4 hari agak lama,Extremely Positive,barang bagus mudah tidak rusa depa amin pengirimanya
18648,produk memuaskan sampai cuma 1 hari mantap,Extremely Positive,produk muas mantap
58595,Brang dah di terima .....lumaya ok tinggal tes...,Extremely Positive,brang sudah terima lumaya oke tinggal tes
6077,Bagus k tdk,Extremely Positive,bagus kak tidak
